Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Stromal cells	Epithelial	Epithelial	IGFBP3	1.07	99.6	4.82e-198
0	Stromal cells	Epithelial	Epithelial	FN1	1.2	95.9	4.32e-166
0	Stromal cells	Epithelial	Epithelial	S100A6	0.66	100.0	2.31e-122
0	Stromal cells	Epithelial	Epithelial	CAV1	0.81	92.9	8.46e-101
0	Stromal cells	Epithelial	Epithelial	PERP	0.53	96.9	2.91e-90
0	Stromal cells	Epithelial	Epithelial	MT-ATP6	-0.64	97.2	2.95e-90
0	Stromal cells	Epithelial	Epithelial	SPOCK2	0.59	40.3	2.65e-87
0	Stromal cells	Epithelial	Epithelial	BAG1	0.62	88.5	3.83e-79
0	Stromal cells	Epithelial	Epithelial	CCND1	0.71	77.7	3.74e-70
0	Stromal cells	Epithelial	Epithelial	UBL3	0.64	64.7	4.48e-70
0	Stromal cells	Epithelial	Epithelial	ANXA2	0.38	98.4	2.48e-69
0	Stromal cells	Epithelial	Epithelial	S100A14	0.6	75.2	2.03e-68
0	Stromal cells	Epithelial	Epithelial	CAV2	0.53	89.4	2.3e-68
0	Stromal cells	Epithelial	Epithelial	PRDX6	0.47	95.1	9.48e-65
0	Stromal cells	Epithelial	Epithelial	ALDOA	0.45	98.3	6.73e-63
0	Stromal cells	Epithelial	Epithelial	TPM1	0.52	97.8	3.68e-61
0	Stromal cells	Epithelial	Epithelial	TMSB4X	0.37	99.6	1.56e-60
0	Stromal cells	Epithelial	Epithelial	EGLN3	0.63	50.1	7.45e-59
0	Stromal cells	Epithelial	Epithelial	PLA2G16	0.53	82.5	6.07e-52
0	Stromal cells	Epithelial	Epithelial	LGALS3	0.43	96.1	1.3e-51
0	Stromal cells	Epithelial	Epithelial	PFN1	-0.34	92.1	3.22e-51
0	Stromal cells	Epithelial	Epithelial	AHNAK2	0.35	22.4	3.82e-51
0	Stromal cells	Epithelial	Epithelial	KRT14	0.65	91.9	7.63e-51
0	Stromal cells	Epithelial	Epithelial	C19orf33	0.35	97.4	1.5e-48
0	Stromal cells	Epithelial	Epithelial	HMGB1	-0.46	94.0	2.05e-48
0	Stromal cells	Epithelial	Epithelial	CITED2	0.63	79.3	9.79e-48
0	Stromal cells	Epithelial	Epithelial	AHNAK	0.48	78.2	2.13e-47
0	Stromal cells	Epithelial	Epithelial	MB	0.53	35.8	4.84e-47
0	Stromal cells	Epithelial	Epithelial	SPTSSB	-0.63	37.1	8.27e-47
0	Stromal cells	Epithelial	Epithelial	SPINT2	0.31	99.0	3.04e-46
0	Stromal cells	Epithelial	Epithelial	FXYD4	0.72	41.2	4.75e-46
0	Stromal cells	Epithelial	Epithelial	MALAT1	0.3	100.0	7.48e-46
0	Stromal cells	Epithelial	Epithelial	MT1X	0.69	71.4	1.45e-45
0	Stromal cells	Epithelial	Epithelial	TPD52	0.44	72.2	2.35e-45
0	Stromal cells	Epithelial	Epithelial	LAPTM4A	0.38	93.4	9.43e-44
0	Stromal cells	Epithelial	Epithelial	MT-CO3	-0.42	99.9	1.59e-43
0	Stromal cells	Epithelial	Epithelial	NUCKS1	-0.45	65.4	2.23e-43
0	Stromal cells	Epithelial	Epithelial	TOP2A	-0.62	4.5	3.14e-43
0	Stromal cells	Epithelial	Epithelial	COMT	-0.37	26.1	7.28e-43
0	Stromal cells	Epithelial	Epithelial	CRIP1	0.42	90.8	1.32e-42
0	Stromal cells	Epithelial	Epithelial	MT-CO1	-0.42	100.0	5.89e-41
0	Stromal cells	Epithelial	Epithelial	IFITM3	-1.46	7.1	7.14e-41
0	Stromal cells	Epithelial	Epithelial	MINOS1	-0.35	47.5	7.48e-41
0	Stromal cells	Epithelial	Epithelial	GPX1	-0.67	1.7	1.4e-40
0	Stromal cells	Epithelial	Epithelial	BIRC5	-0.47	6.6	9.14e-40
0	Stromal cells	Epithelial	Epithelial	RHOF	0.49	63.5	9.84e-40
0	Stromal cells	Epithelial	Epithelial	TMEM59	0.32	92.9	3.15e-39
0	Stromal cells	Epithelial	Epithelial	CST6	0.41	94.0	1.28e-38
0	Stromal cells	Epithelial	Epithelial	S100A10	0.33	98.0	8.97e-38
0	Stromal cells	Epithelial	Epithelial	IGF2	0.43	96.3	1.95e-37
0	Stromal cells	Epithelial	Epithelial	RPS26	-0.29	95.4	1.11e-36
0	Stromal cells	Epithelial	Epithelial	CENPF	-0.47	4.5	1.31e-36
0	Stromal cells	Epithelial	Epithelial	PGRMC2	0.37	75.5	2.13e-36
0	Stromal cells	Epithelial	Epithelial	H2AFZ	-0.47	80.2	2.51e-36
0	Stromal cells	Epithelial	Epithelial	ADIRF	0.34	100.0	4.96e-36
0	Stromal cells	Epithelial	Epithelial	MEAF6	0.32	94.0	5.58e-36
0	Stromal cells	Epithelial	Epithelial	FHL2	0.42	88.2	2.94e-35
0	Stromal cells	Epithelial	Epithelial	GAPDH	0.32	100.0	4.45e-35
0	Stromal cells	Epithelial	Epithelial	FTH1	0.25	100.0	6.08e-35
0	Stromal cells	Epithelial	Epithelial	CYBA	-0.63	1.6	1.56e-34
0	Stromal cells	Epithelial	Epithelial	PTPRR	0.4	36.5	2.6e-34
0	Stromal cells	Epithelial	Epithelial	HIST1H4C	-1.12	40.0	6.61e-34
0	Stromal cells	Epithelial	Epithelial	KRT19	0.34	100.0	1.03e-33
0	Stromal cells	Epithelial	Epithelial	S100A13	0.43	78.7	1.38e-33
0	Stromal cells	Epithelial	Epithelial	NUSAP1	-0.58	11.8	2.34e-33
0	Stromal cells	Epithelial	Epithelial	CHMP5	0.32	83.9	2.62e-33
0	Stromal cells	Epithelial	Epithelial	TRAM1	0.37	90.3	3.4e-33
0	Stromal cells	Epithelial	Epithelial	TXNIP	0.59	65.9	3.62e-33
0	Stromal cells	Epithelial	Epithelial	IGFBP7	-1.93	6.6	5.79e-33
0	Stromal cells	Epithelial	Epithelial	RDX	0.45	74.8	9.83e-33
0	Stromal cells	Epithelial	Epithelial	SMYD3	-0.43	29.8	1.3e-32
0	Stromal cells	Epithelial	Epithelial	KIF23	-0.28	1.6	1.33e-32
0	Stromal cells	Epithelial	Epithelial	SLC2A3	0.57	38.2	2.55e-32
0	Stromal cells	Epithelial	Epithelial	HMGN2	-0.37	69.9	5.29e-32
0	Stromal cells	Epithelial	Epithelial	CDCA8	-0.42	7.2	5.97e-32
